Date,Open,High,Low,Close,Adj Close,Volume
7/27/2020,195.160004,197.809998,194.199997,196.910004,195.728363,5604700
7/28/2020,197.690002,199.369995,196.710007,196.740005,195.559387,6897300
7/29/2020,193.089996,198.889999,193.050003,198.580002,197.388336,9471300
7/30/2020,195.199997,196.559998,192.119995,194.059998,192.895462,10499400
7/31/2020,194.419998,194.690002,189.440002,190.399994,189.257416,14180800
8/3/2020,191.800003,193.339996,190.210007,190.690002,189.545685,11405200
8/4/2020,191.130005,192.940002,190.080002,192.289993,191.136078,8204000
8/5/2020,193.559998,198.179993,193.100006,196.100006,194.923233,8876800
8/6/2020,195.979996,198.919998,194.789993,198.770004,197.577209,7480300
8/7/2020,197.589996,197.979996,195.300003,196.360001,195.181656,5654000
8/10/2020,196.360001,198.309998,195.330002,196.789993,195.60907,5525400
8/11/2020,197.820007,202.889999,196.339996,197.770004,196.583206,11549600
8/12/2020,199,200.229996,198.240005,198.740005,197.547394,5432500
8/13/2020,197.130005,199.940002,197.029999,197.580002,196.691238,7014800
8/14/2020,197.009995,198.070007,195.770004,196.639999,195.755463,5014400
8/17/2020,197.300003,200.460007,196.710007,199.429993,198.532913,6256200
8/18/2020,199.979996,200.100006,196.820007,199.009995,198.114807,6519900
8/19/2020,198.919998,202.839996,198.899994,200.990005,200.085907,9467600
8/20/2020,199.899994,204.440002,199.600006,204.149994,203.231674,8849200
8/21/2020,204.5,205.139999,203.339996,204.130005,203.211777,9998300
8/24/2020,205.009995,206.449997,204.669998,206.410004,205.481522,6159600
8/25/2020,207.190002,208.199997,205.539993,208.100006,207.163925,5828300
8/26/2020,208.100006,210.800003,207.300003,210.259995,209.314209,7035200
8/27/2020,211.210007,212.179993,209.050003,211.029999,210.08075,8619600
8/28/2020,212,216.160004,211.220001,215.710007,214.739685,7349800
8/31/2020,215.539993,215.960007,211.559998,211.990005,211.036423,9326900
9/1/2020,212.210007,213.889999,211.119995,213.350006,212.390305,5642900
9/2/2020,214.130005,217.350006,213.770004,216.479996,215.506226,9863800
9/3/2020,214.929993,214.929993,207.089996,208.960007,208.020065,11310200
9/4/2020,208.490005,210.5,200.149994,204.660004,203.739395,13243600
9/8/2020,200.779999,202.25,199.210007,200.119995,199.219818,14186900
9/9/2020,204.350006,206.289993,201.949997,204.059998,203.14209,7532600
9/10/2020,204.860001,207,200.449997,201.539993,200.633423,7243000
9/11/2020,201.580002,202.410004,198.910004,200.679993,199.777283,7439000
9/14/2020,203.350006,206.410004,203.139999,204.979996,204.057938,11730500
9/15/2020,206.75,208.210007,204.770004,205.389999,204.46611,6328600
9/16/2020,206.740005,207.75,204.949997,205.130005,204.207291,6135000
9/17/2020,202.850006,205.580002,202,205.270004,204.346664,7474900
9/18/2020,205.470001,205.720001,201.720001,202.610001,201.698624,9084100
9/21/2020,199.910004,201.25,194.699997,197.449997,196.561829,9656000
9/22/2020,198.089996,200.710007,196.800003,200.559998,199.657837,7543100
9/23/2020,200.800003,201.089996,194.570007,195.369995,194.49118,6310600
9/24/2020,195.149994,197.669998,193.130005,195.520004,194.640518,9865300
9/25/2020,195.020004,198.139999,193.509995,197.25,196.362732,5496100
9/28/2020,200.630005,201.720001,199.830002,200.320007,199.41893,5565300
9/29/2020,200.580002,202.380005,199.369995,199.440002,198.542877,5513500
9/30/2020,200.850006,202.539993,198.889999,199.970001,199.07048,9157600
10/1/2020,202.210007,205.199997,201.639999,203.350006,202.435303,7234600
10/2/2020,200,202.830002,199.399994,201.460007,200.553802,6019700
10/5/2020,202.710007,203.649994,201.050003,203.539993,202.62442,6090500
10/6/2020,204.110001,205.100006,199.710007,200.449997,199.548325,5841100
10/7/2020,202,202.789993,199.990005,202.470001,201.55925,6713400
10/8/2020,204,204.300003,202.229996,202.979996,202.066956,3955600
10/9/2020,204,207.080002,203.679993,206.639999,205.710495,5562900
10/12/2020,206.940002,207.970001,205.729996,206.399994,205.471558,6622700
10/13/2020,203.380005,205.210007,203.029999,204.320007,203.40094,5621700
10/14/2020,204.710007,204.970001,201.130005,202.199997,201.290466,5320000
10/15/2020,201.009995,204.699997,197.600006,199.550003,198.65239,8885500
10/16/2020,199.990005,202.649994,199.410004,200.259995,199.359177,6385900
10/19/2020,200.850006,201.070007,196.5,196.970001,196.083984,7449600
10/20/2020,197.550003,199.660004,196.710007,197.699997,196.810699,7427000
10/21/2020,197.830002,200.419998,197.830002,198.429993,197.537415,6067200
10/22/2020,199.339996,199.770004,195.759995,197.990005,197.099411,4908200
10/23/2020,199.75,199.880005,196.020004,198.009995,197.119308,5877200
10/26/2020,196,196.419998,190.720001,193.070007,192.201538,12608700
10/27/2020,193,193.699997,189.220001,190.059998,189.205078,8690400
10/28/2020,183.979996,184.699997,179.339996,180.869995,180.056412,17809500
10/29/2020,183,187,179.339996,184.869995,184.038406,16820900
10/30/2020,182.660004,184.220001,179.229996,181.710007,180.892639,10252900
11/2/2020,184.509995,186.919998,183.889999,184.740005,183.908997,8057100
11/3/2020,186.830002,189.529999,185.160004,188.339996,187.492798,6467900
11/4/2020,192.889999,196.880005,191.529999,193.970001,193.097488,8102700
11/5/2020,198.360001,200.990005,197.289993,197.639999,196.750977,7132100
11/6/2020,197.350006,199.679993,195.429993,198.470001,197.57724,6180500
11/9/2020,214.690002,217.649994,212.279999,212.679993,211.723297,17916900
11/10/2020,211.940002,214.059998,210.550003,213.309998,212.350479,7943600
11/11/2020,212.169998,214.279999,211.669998,212.699997,211.743225,5337200
11/12/2020,211.429993,212.539993,207.139999,208.259995,207.63559,7302500
11/13/2020,209.910004,211.279999,207.300003,210.479996,209.848923,6377500
11/16/2020,214.570007,215.089996,211.830002,212.699997,212.062271,12083200
11/17/2020,210.559998,212.089996,209.5,210.710007,210.078247,7268800
11/18/2020,209.720001,211.149994,207.669998,207.830002,207.206863,6977900
11/19/2020,207.240005,208.729996,205.529999,207.570007,206.947662,5657200
11/20/2020,207.130005,208.110001,203.809998,203.880005,203.268723,9653500
11/23/2020,204.699997,209,204.699997,208.160004,207.535889,6101900
11/24/2020,210.850006,213.820007,209.399994,209.679993,209.051315,10110800
11/25/2020,209.669998,211.949997,208.869995,210.889999,210.257706,6772900
11/27/2020,212,212.029999,208.809998,211,210.367371,3512900
11/30/2020,209.539993,210.539993,206.600006,210.350006,209.719315,7725500
12/1/2020,212.130005,213.669998,211.039993,211.199997,210.566772,8047900
12/2/2020,211,211.399994,208.479996,210.179993,209.54982,9728900
12/3/2020,209.779999,211.110001,207.610001,208.050003,207.426224,9203300
12/4/2020,209.740005,212.720001,208.509995,212.679993,212.042328,5720100
12/7/2020,211.970001,214.5,211.800003,212.649994,212.012421,10624500
12/8/2020,209.949997,213.130005,209.889999,212.770004,212.13208,8646200
12/9/2020,213.229996,213.5,208.949997,209.580002,208.95163,6251100
12/10/2020,208.509995,209.300003,207.25,207.610001,206.987534,10492000
12/11/2020,205.360001,206.889999,204.5,206.240005,205.621643,9227600
12/14/2020,207.850006,211.300003,206.970001,207.25,206.628601,11967700
12/15/2020,208.539993,209.440002,206.160004,208.360001,207.735291,9796100
12/16/2020,208.479996,209.130005,207.139999,208.270004,207.645569,7504400
12/17/2020,209,211.779999,208.850006,211.179993,210.546814,6517200
12/18/2020,211.020004,211.979996,209.869995,211.309998,210.676437,13298200
12/21/2020,208.270004,209.800003,204.789993,209.009995,208.383331,7576700
12/22/2020,208.389999,208.399994,205.600006,205.839996,205.222839,7396200
12/23/2020,207.330002,207.330002,205.110001,205.300003,204.684464,6523100
12/24/2020,206.639999,208.820007,206.600006,208.699997,208.074265,3367900
12/28/2020,209.850006,213.460007,208.949997,212.630005,211.992493,5816200
12/29/2020,214.610001,215.240005,213.539993,214.369995,213.727264,6093400
12/30/2020,216,220.389999,215.649994,218.360001,217.705307,8875100
12/31/2020,218.399994,219.820007,216.199997,218.729996,218.074188,5922200
1/4/2021,220.25,220.25,214.240005,217.759995,217.107101,10318300
1/5/2021,216.309998,218.460007,213.639999,214.509995,213.866837,6869700
1/6/2021,213.800003,216.169998,212.070007,212.619995,211.982513,7206200
1/7/2021,212.199997,215.220001,212.199997,213.809998,213.168945,10967900
1/8/2021,214.169998,216.119995,212.75,215.449997,214.804016,6513000
1/11/2021,213.960007,214.860001,212.479996,212.889999,212.251694,7353100
1/12/2021,212.339996,212.789993,207.470001,208.860001,208.233795,9331600
1/13/2021,209.410004,211,208.630005,209.350006,208.722321,6688500
1/14/2021,210.570007,211.210007,201.729996,201.860001,201.254776,12887500
1/15/2021,201.539993,203.259995,200.429993,201.589996,200.98558,8755000
1/19/2021,203.050003,204.169998,200.070007,201.660004,201.055374,9772000
1/20/2021,203.029999,207.190002,202.229996,206.009995,205.392319,12675700
1/21/2021,206.050003,207.169998,204.75,205.139999,204.524948,6513500
1/22/2021,203.990005,205.330002,201.800003,202.020004,201.414307,7316200
1/25/2021,200.339996,201.639999,195.75,200.979996,200.377411,19282400
1/26/2021,201.759995,203.490005,200.970001,202.009995,201.404327,9605300
1/27/2021,197.639999,199.699997,193.960007,194.970001,194.385437,13772400
1/28/2021,200,202,198.169998,198.220001,197.625687,11041300
1/29/2021,197.820007,203.050003,192.809998,193.25,192.670593,21503000
2/1/2021,195.139999,199.210007,195.020004,198.360001,197.765259,12970700
2/2/2021,200.850006,204.350006,200,202.610001,202.002533,11305100
2/3/2021,203.070007,203.509995,200.979996,201.360001,200.756271,13458600
2/4/2021,203.240005,209.679993,203.100006,209.25,208.62262,14534800
2/5/2021,209.979996,210.130005,208.660004,208.770004,208.144058,10284000
2/8/2021,210,210.649994,205.910004,206.889999,206.269699,8637100
2/9/2021,205.759995,207.630005,203.699997,206.520004,205.900803,7619400
2/10/2021,207.970001,207.970001,205.940002,206.440002,205.821045,8467600
2/11/2021,207.330002,211.589996,207.190002,210.660004,210.354462,8411100
2/12/2021,209.360001,211.130005,207.679993,209.960007,209.655472,6911000
2/16/2021,210.660004,211.050003,207.350006,207.899994,207.59845,9652700
2/17/2021,205.259995,208.279999,205.059998,207.509995,207.209015,8373200
2/18/2021,205.880005,209.699997,204.960007,209.350006,209.046356,7328600
2/19/2021,209.339996,209.529999,203.759995,204.729996,204.433044,15011500
2/22/2021,203.550003,210.649994,203.110001,208.320007,208.017853,8337700
2/23/2021,207.399994,213.910004,206.550003,212.110001,211.802353,10571700
2/24/2021,212.360001,220.529999,211.289993,219.429993,219.111725,12039000
2/25/2021,219.289993,220.449997,212.580002,213.75,213.439972,11404300
2/26/2021,214.050003,215.210007,210.740005,212.389999,212.08194,11730000
3/1/2021,214.970001,217.800003,214.789993,216.630005,216.315796,6982000
3/2/2021,216.960007,217.929993,214.820007,215.770004,215.457047,6155200
3/3/2021,215.149994,217.190002,212.860001,214.850006,214.538376,6484600
3/4/2021,215.970001,217.020004,208.669998,211.5,211.193237,10658900
3/5/2021,213.729996,216.100006,209.630005,215.410004,215.097565,7582000
3/8/2021,216.979996,226.130005,215.809998,220.270004,219.950516,14750400
3/9/2021,222.059998,225,220.190002,220.360001,220.04039,9228600
3/10/2021,220.720001,224.190002,219.399994,223.169998,222.846313,7822900
3/11/2021,224.529999,228.229996,223.809998,226.149994,225.821976,10053400
3/12/2021,225.279999,226.539993,223.419998,224.360001,224.034592,8172400
3/15/2021,224.229996,227.089996,221.740005,223.270004,222.946167,9306100
3/16/2021,223.710007,225.580002,222.300003,224.699997,224.374084,8949300
3/17/2021,225.050003,226.240005,221.759995,223.020004,222.696533,8675600
3/18/2021,221.429993,222.520004,219.580002,220.660004,220.339951,9321800
3/19/2021,219.119995,220.169998,206.880005,206.899994,206.599899,32209700
3/22/2021,206.550003,212.289993,206.229996,208,207.698318,11371600
3/23/2021,209.050003,209.960007,207.5,208.149994,207.848083,8820700
3/24/2021,208.75,211.139999,207.929993,208.070007,207.768219,10101600
3/25/2021,207.669998,208.820007,205.779999,207.970001,207.66835,8390800
3/26/2021,208.25,213.699997,207.699997,213.529999,213.220291,7399900
3/29/2021,212.449997,215.289993,211.119995,214.509995,214.198868,7792300
3/30/2021,213.009995,214.149994,211.410004,211.899994,211.592651,5498000
3/31/2021,212.550003,214.110001,211.550003,211.729996,211.422897,13180000
4/1/2021,213.779999,217.740005,212.300003,216.860001,216.545456,6138400
4/5/2021,218.600006,220.509995,217.309998,219.039993,218.72229,10440500
4/6/2021,217.619995,219.399994,215.339996,218.649994,218.332855,7828100
4/7/2021,219.119995,221.039993,218.639999,219.270004,218.951965,5614300
4/8/2021,219.970001,222.820007,218.110001,220.699997,220.379883,11042000
4/9/2021,221,222.600006,219.509995,222.520004,222.19725,5724900
4/12/2021,220.240005,221.910004,219.220001,221.470001,221.148773,6315200
4/13/2021,221,221.619995,220.220001,221.020004,220.699432,4764000
4/14/2021,221,223.100006,220.070007,221.979996,221.658035,4972600
4/15/2021,223.889999,227.630005,223.860001,226.279999,225.951797,8698100
4/16/2021,227.169998,227.800003,225.759995,226.410004,226.081619,6829400
4/19/2021,225.75,227.580002,225.080002,225.789993,225.462509,6541600
4/20/2021,224.779999,225.380005,221.820007,223.279999,222.956146,5799100
4/21/2021,223.309998,227.869995,222.869995,227.449997,227.120102,9490600
4/22/2021,227.300003,230.929993,226.889999,227.570007,227.239929,7303000
4/23/2021,228.610001,231.820007,227.710007,230,229.666397,5345200
4/26/2021,230.770004,232.949997,229.520004,230.339996,230.005905,5650000
4/27/2021,231.029999,231.160004,228.990005,229.910004,229.576538,6642100
4/28/2021,230.949997,236.270004,230.669998,233.449997,233.111389,10111400
4/29/2021,235.229996,237.5,233.149994,236.860001,236.516449,7411400
4/30/2021,235.320007,235.929993,232.289993,233.559998,233.221237,10260200
5/3/2021,234.050003,235.740005,231.389999,232.610001,232.272614,8174400
5/4/2021,231.600006,232.389999,230.229996,232.029999,231.693451,5884500
5/5/2021,233.850006,233.850006,228.660004,229.210007,228.877563,6523200
5/6/2021,229.630005,231.580002,228.660004,231.320007,230.984497,6124100
5/7/2021,232.339996,233.220001,230.710007,232.119995,231.783325,4528700
5/10/2021,231.600006,232,225.160004,225.970001,225.642242,9627400
5/11/2021,223.740005,226.419998,222.039993,225.479996,225.152954,7633300
5/12/2021,223.630005,225,220.309998,220.630005,220.309998,7721300
5/13/2021,221.509995,224.899994,220.889999,223.740005,223.740005,6650100
5/14/2021,225.820007,227.509995,224.919998,226.940002,226.940002,4777200
5/17/2021,226.179993,227.160004,225.320007,226.440002,226.440002,5534200
5/18/2021,228.389999,229.179993,225.429993,225.570007,225.570007,6900000
5/19/2021,222.759995,224.850006,221.789993,224.589996,224.589996,9311900
5/20/2021,225.440002,227.600006,225.240005,226.440002,226.440002,7478600
5/21/2021,226.880005,229.309998,226.550003,226.770004,226.770004,5603900
5/24/2021,227.949997,230.110001,227.630005,229.320007,229.320007,4040100
5/25/2021,229.899994,230.190002,228.419998,229.020004,229.020004,4689100
5/26/2021,228.050003,229.350006,226.380005,227.070007,227.070007,4295600
5/27/2021,227.759995,228.419998,226.369995,226.860001,226.860001,5969600
5/28/2021,227.589996,229.429993,227.149994,227.300003,227.300003,5779700
6/1/2021,229.440002,230.080002,226.279999,226.630005,226.630005,5091500
6/2/2021,229.220001,233.110001,228.779999,229.660004,229.660004,9081100
6/3/2021,229,230.389999,227.770004,228.110001,228.110001,6382400
6/4/2021,229.350006,230.699997,228.729996,230.139999,230.139999,5085700
6/7/2021,232.850006,234.679993,230.080002,231.320007,231.320007,5421300
6/8/2021,232.149994,232.850006,230.160004,232.050003,232.050003,4170600
6/9/2021,232.5,234.850006,232.119995,232.309998,232.309998,4659000
6/10/2021,233.100006,234.259995,232.130005,233.949997,233.949997,4452500
6/11/2021,234.389999,235.440002,233.710007,234.960007,234.960007,5378300
6/14/2021,234.699997,235.220001,231.570007,234.080002,234.080002,5805800
6/15/2021,234.440002,234.800003,232.619995,232.979996,232.979996,7093800
6/16/2021,233.619995,234.179993,228,229.600006,229.600006,8905400
6/17/2021,229.210007,233.339996,229.210007,232.149994,232.149994,6876700
6/18/2021,230.449997,232.179993,229.220001,230.410004,230.410004,8840000
6/21/2021,231.449997,235.009995,230.399994,234.320007,234.320007,7298400
6/22/2021,234.300003,236.089996,233.240005,235.929993,235.929993,8858400
6/23/2021,235.449997,235.919998,233.940002,234.679993,234.679993,6814700
6/24/2021,237,238.25,235.410004,236.240005,236.240005,4611500
6/25/2021,236.399994,238.479996,236.320007,237.320007,237.320007,7825200
6/28/2021,238,238.369995,231.860001,234.089996,234.089996,9301700
6/29/2021,234.570007,236.520004,234.149994,235.949997,235.949997,11897700
6/30/2021,235.110001,236.399994,233.820007,233.820007,233.820007,7797100
7/1/2021,234.199997,236.25,234.050003,235.149994,235.149994,5329600
7/2/2021,235.830002,238.779999,235.820007,238.630005,238.630005,4383700
7/6/2021,239.5,240.610001,237.210007,239.600006,239.600006,8048700
7/7/2021,240.259995,241.039993,238.300003,240,240,4366100
7/8/2021,236.970001,237.070007,234.550003,236.610001,236.610001,6388000
7/9/2021,238.759995,239.449997,237.419998,238.470001,238.470001,5615900
7/12/2021,237.580002,238.509995,237.270004,237.869995,237.869995,7010700
7/13/2021,238.25,242.479996,238.25,242.350006,242.350006,8079200
7/14/2021,243.220001,246.809998,242.820007,245.990005,245.990005,8693400
7/15/2021,245.309998,248.800003,245.309998,248.550003,248.550003,10135100
7/16/2021,249.990005,250.460007,247.520004,248.119995,248.119995,8673600
7/19/2021,243.990005,244.449997,238.899994,240.410004,240.410004,11474600
7/20/2021,240.639999,244.210007,239.509995,242.699997,242.699997,7071600
7/21/2021,243.289993,246.899994,242.300003,243.660004,243.660004,11239300
7/22/2021,243.779999,245.350006,243.149994,244.139999,244.139999,10293600
7/23/2021,246.759995,250.009995,246.759995,249.020004,249.020004,6762000
7/26/2021,249.210007,250.360001,247.699997,250.25,250.25,4875500
